event_id_memoria,source_event_id,source,origin_time_utc,latitude,longitude,depth_km,magnitude_value,magnitude_type,magnitude_original_value,magnitude_original_type,magnitude_comparable,magnitude_homogenization_method,magnitude_conversion_equation,magnitude_conversion_uncertainty,magnitude_homogenization_status,intensity_max,location_text,felt,location_uncertainty_km,magnitude_uncertainty,tectonic_domain,domain_confidence,historical_quality,quality_score,record_status,source_url,source_file,duplicate_group_id,is_preferred_record,cluster_id,cluster_role,is_background_event,declustering_method,declustering_eligible,declustering_exclusion_reason,ingested_at_utc
MEM-F4F2FF8D61118FD7,MEM-F4F2FF8D61118FD7,IPMA,2026-08-14 04:40:14+00:00,36.555,-9.892,20.0,0.8,L,0.8,L,0.8,,,,,,SW Cabo S.Vicente,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-1C62C56CD8BB4BAF,MEM-1C62C56CD8BB4BAF,IPMA,2026-08-14 05:08:00+00:00,37.474,-7.494,12.0,0.0,L,0.0,L,0.0,,,,,,NW Alcoutim,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-218973167318F131,MEM-218973167318F131,IPMA,2026-08-14 15:19:47+00:00,38.494,-7.904,19.0,0.8,L,0.8,L,0.8,,,,,,S  Evora,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-0DCC0408F72ADE6C,MEM-0DCC0408F72ADE6C,IPMA,2026-08-15 01:50:46+00:00,36.863,-8.721,25.0,0.8,L,0.8,L,0.8,,,,,,S  Lagos,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-6F70F6F4C40666C4,MEM-6F70F6F4C40666C4,IPMA,2026-08-15 23:50:43+00:00,38.237,-7.853,7.0,0.9,L,0.9,L,0.9,,,,,,NW Vidigueira,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-0006AF99093382BB,MEM-0006AF99093382BB,IPMA,2026-08-16 01:32:13+00:00,38.327,-8.011,2.0,0.6,L,0.6,L,0.6,,,,,,NW Viana do Alentejo,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-8B50DC4527681318,MEM-8B50DC4527681318,IPMA,2026-08-16 19:43:40+00:00,41.422,-8.514,4.0,0.8,L,0.8,L,0.8,,,,,,NW Famalicâo,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-4B9884486DD52A44,MEM-4B9884486DD52A44,IPMA,2026-08-18 15:51:35+00:00,38.788,-7.975,8.0,0.4,L,0.4,L,0.4,,,,,,NE Arraiolos,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-F49FD7B23D736798,MEM-F49FD7B23D736798,IPMA,2026-08-18 19:24:47+00:00,36.574,-9.775,16.0,0.9,L,0.9,L,0.9,,,,,,SW Cabo S.Vicente,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-85A66D1F17EF15E2,MEM-85A66D1F17EF15E2,IPMA,2026-08-18 20:51:53+00:00,39.206,-9.344,0.0,0.3,L,0.3,L,0.3,,,,,,SW Lourinhã,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-1CCFC1943D7D4DCD,MEM-1CCFC1943D7D4DCD,IPMA,2026-08-18 23:09:58+00:00,37.3,-8.565,10.0,0.4,L,0.4,L,0.4,,,,,,SW Monchique,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
